Datetime,Area ID,Area Boss,Remain Count,Capture Type,Capture Status,Sangvis ID,Sangvis Rank,Sangvis Name
2023-01-27 14:28:37,23,Alchemist,65,PULSE,O,3004,★,Jaeger
2023-01-27 14:28:45,23,Alchemist,64,PULSE,O,3006,★,Dinergate
2023-01-27 14:28:53,23,Alchemist,63,PULSE,O,3008,★,Prowler
2023-01-27 14:29:05,23,Alchemist,63,PULSE,X,2015,★★,Jaeger SWAP
2023-01-28 23:15:33,23,Alchemist,62,PULSE,O,3005,★,Striker
2023-01-28 23:15:44,23,Alchemist,61,PULSE,O,3009,★,Jaguar
2023-01-28 23:15:54,23,Alchemist,61,PULSE,X,2015,★★,Jaeger SWAP
2023-01-30 09:07:32,23,Alchemist,57,PULSE,O,3003,★,Guard
2023-01-30 18:01:58,23,Alchemist,56,PULSE,O,3009,★,Jaguar
2023-01-30 18:02:12,23,Alchemist,56,PULSE,X,2015,★★,Jaeger SWAP
2023-02-02 23:30:12,23,Alchemist,55,PULSE,O,3009,★,Jaguar
2023-02-02 23:30:21,23,Alchemist,54,PULSE,O,3007,★,Scout
2023-02-03 10:38:37,23,Alchemist,53,PULSE,O,3005,★,Striker
